observableId	experimentId	measurement	time	observableParameters	noiseParameters	datasetId
pS6_tot	experiment1	0	0	scaling_pS6_tot	0.01	experiment1_pS6_tot
pS6_tot	experiment1	0.0018563	60	scaling_pS6_tot	0.01	experiment1_pS6_tot
pS6_tot	experiment1	0.0033416	120	scaling_pS6_tot	0.01	experiment1_pS6_tot
pS6_tot	experiment1	0.012632	300	scaling_pS6_tot	0.01	experiment1_pS6_tot
pS6_tot	experiment1	0.078914	600	scaling_pS6_tot	0.02	experiment1_pS6_tot
pS6_tot	experiment1	0.25521	900	scaling_pS6_tot	0.02	experiment1_pS6_tot
pS6_tot	experiment1	0.44745	1800	scaling_pS6_tot	0.035	experiment1_pS6_tot
pS6_tot	experiment1	0.29547	inf	scaling_pS6_tot	0.035	experiment1_pS6_tot
pS6_tot	experiment2	0	0	scaling_pS6_tot	0.01	experiment2_pS6_tot
pS6_tot	experiment2	0.0019654	60	scaling_pS6_tot	0.01	experiment2_pS6_tot
pS6_tot	experiment2	0.0021975	120	scaling_pS6_tot	0.01	experiment2_pS6_tot
pS6_tot	experiment2	0.020119	300	scaling_pS6_tot	0.01	experiment2_pS6_tot
pS6_tot	experiment2	0.22158	600	scaling_pS6_tot	0.02	experiment2_pS6_tot
pS6_tot	experiment2	0.52331	900	scaling_pS6_tot	0.03	experiment2_pS6_tot
pS6_tot	experiment2	0.85846	1800	scaling_pS6_tot	0.1	experiment2_pS6_tot
pS6_tot	experiment2	0.6598	inf	scaling_pS6_tot	0.025	experiment2_pS6_tot
pS6_tot	experiment3	0	0	scaling_pS6_tot	0.01	experiment3_pS6_tot
pS6_tot	experiment3	0.0020839	60	scaling_pS6_tot	0.01	experiment3_pS6_tot
pS6_tot	experiment3	0.0047955	120	scaling_pS6_tot	0.01	experiment3_pS6_tot
pS6_tot	experiment3	0.047495	300	scaling_pS6_tot	0.01	experiment3_pS6_tot
pS6_tot	experiment3	0.39197	600	scaling_pS6_tot	0.01	experiment3_pS6_tot
pS6_tot	experiment3	0.68142	900	scaling_pS6_tot	0.025	experiment3_pS6_tot
pS6_tot	experiment3	1.0001	1800	scaling_pS6_tot	0.07	experiment3_pS6_tot
pS6_tot	experiment3	0.75108	inf	scaling_pS6_tot	0.075	experiment3_pS6_tot
pS6_tot	experiment4	0	0	scaling_pS6_tot	0.01	experiment4_pS6_tot
pS6_tot	experiment4	0.0057189	60	scaling_pS6_tot	0.01	experiment4_pS6_tot
pS6_tot	experiment4	0.013126	120	scaling_pS6_tot	0.01	experiment4_pS6_tot
pS6_tot	experiment4	0.062408	300	scaling_pS6_tot	0.01	experiment4_pS6_tot
pS6_tot	experiment4	0.41154	600	scaling_pS6_tot	0.01	experiment4_pS6_tot
pS6_tot	experiment4	0.71428	900	scaling_pS6_tot	0.035	experiment4_pS6_tot
pS6_tot	experiment4	0.92784	1800	scaling_pS6_tot	0.08	experiment4_pS6_tot
pS6_tot	experiment4	0.55064	inf	scaling_pS6_tot	0.08	experiment4_pS6_tot
pS6_tot	experiment5	0	0	scaling_pS6_tot	0.01	experiment5_pS6_tot
pS6_tot	experiment5	0.0073292	60	scaling_pS6_tot	0.01	experiment5_pS6_tot
pS6_tot	experiment5	0.014418	120	scaling_pS6_tot	0.01	experiment5_pS6_tot
pS6_tot	experiment5	0.079732	300	scaling_pS6_tot	0.01	experiment5_pS6_tot
pS6_tot	experiment5	0.4562	600	scaling_pS6_tot	0.01	experiment5_pS6_tot
pS6_tot	experiment5	0.65294	900	scaling_pS6_tot	0.02	experiment5_pS6_tot
pS6_tot	experiment5	0.75189	1800	scaling_pS6_tot	0.04	experiment5_pS6_tot
pS6_tot	experiment5	0.37446	inf	scaling_pS6_tot	0.08	experiment5_pS6_tot
pS6_tot	experiment6	0	0	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.0086144	60	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.013062	120	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.07993	300	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.42868	600	scaling_pS6_tot	0.02	experiment6_pS6_tot
pS6_tot	experiment6	0.60508	900	scaling_pS6_tot	0.03	experiment6_pS6_tot
pS6_tot	experiment6	0.62088	1800	scaling_pS6_tot	0.035	experiment6_pS6_tot
pS6_tot	experiment6	0.32084	inf	scaling_pS6_tot	0.07	experiment6_pS6_tot
pS6_tot	experiment6	0	0	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.009	60	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.01	120	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.05	300	scaling_pS6_tot	0.01	experiment6_pS6_tot
pS6_tot	experiment6	0.6	600	scaling_pS6_tot	0.02	experiment6_pS6_tot
pS6_tot	experiment6	0.4	900	scaling_pS6_tot	0.03	experiment6_pS6_tot
pS6_tot	experiment6	0.83	1800	scaling_pS6_tot	0.035	experiment6_pS6_tot
pS6_tot	experiment6	0.2	inf	scaling_pS6_tot	0.07	experiment6_pS6_tot
