observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters
pS6_tot		model1_data1	0	0	scaling_pS6_tot	0.01
pS6_tot		model1_data1	5.78895984805857E-05	60	scaling_pS6_tot	0.01
pS6_tot		model1_data1	0.0009531255	120	scaling_pS6_tot	0.01
pS6_tot		model1_data1	0.0185497283	300	scaling_pS6_tot	0.01
pS6_tot		model1_data1	0.0927501675	600	scaling_pS6_tot	0.02
pS6_tot		model1_data1	0.1859892615	900	scaling_pS6_tot	0.02
pS6_tot		model1_data1	0.3842285889	1800	scaling_pS6_tot	0.035
pS6_tot		model1_data1	0.3671651134	inf	scaling_pS6_tot	0.035
pS6_tot		model1_data2	0	0	scaling_pS6_tot	0.01
pS6_tot		model1_data2	0.0001694707	60	scaling_pS6_tot	0.01
pS6_tot		model1_data2	0.0026563935	120	scaling_pS6_tot	0.01
pS6_tot		model1_data2	0.045833771	300	scaling_pS6_tot	0.01
pS6_tot		model1_data2	0.209607514	600	scaling_pS6_tot	0.02
pS6_tot		model1_data2	0.4007484657	900	scaling_pS6_tot	0.03
pS6_tot		model1_data2	0.7556316274	1800	scaling_pS6_tot	0.1
pS6_tot		model1_data2	0.6612775029	inf	scaling_pS6_tot	0.025
pS6_tot		model1_data3	0	0	scaling_pS6_tot	0.01
pS6_tot		model1_data3	0.0005211244	60	scaling_pS6_tot	0.01
pS6_tot		model1_data3	0.007106942	120	scaling_pS6_tot	0.01
pS6_tot		model1_data3	0.0945320284	300	scaling_pS6_tot	0.01
pS6_tot		model1_data3	0.366852041	600	scaling_pS6_tot	0.01
pS6_tot		model1_data3	0.6350909024	900	scaling_pS6_tot	0.025
pS6_tot		model1_data3	0.9989387811	1800	scaling_pS6_tot	0.07
pS6_tot		model1_data3	0.7818807584	inf	scaling_pS6_tot	0.075
pS6_tot		model1_data4	0	0	scaling_pS6_tot	0.01
pS6_tot		model1_data4	0.001284326	60	scaling_pS6_tot	0.01
pS6_tot		model1_data4	0.0137701475	120	scaling_pS6_tot	0.01
pS6_tot		model1_data4	0.1357831768	300	scaling_pS6_tot	0.01
pS6_tot		model1_data4	0.4317319675	600	scaling_pS6_tot	0.01
pS6_tot		model1_data4	0.6581119566	900	scaling_pS6_tot	0.035
pS6_tot		model1_data4	0.8936164338	1800	scaling_pS6_tot	0.08
pS6_tot		model1_data4	0.6665565723	inf	scaling_pS6_tot	0.08
pS6_tot		model1_data5	0	0	scaling_pS6_tot	0.01
pS6_tot		model1_data5	0.0026774961	60	scaling_pS6_tot	0.01
pS6_tot		model1_data5	0.0210783997	120	scaling_pS6_tot	0.01
pS6_tot		model1_data5	0.1570157565	300	scaling_pS6_tot	0.01
pS6_tot		model1_data5	0.4117751573	600	scaling_pS6_tot	0.01
pS6_tot		model1_data5	0.5823970015	900	scaling_pS6_tot	0.02
pS6_tot		model1_data5	0.7468131737	1800	scaling_pS6_tot	0.04
pS6_tot		model1_data5	0.5504628923	inf	scaling_pS6_tot	0.08
pS6_tot		model1_data6	0	0	scaling_pS6_tot	0.01
pS6_tot		model1_data6	0.0039799398	60	scaling_pS6_tot	0.01
pS6_tot		model1_data6	0.0254606658	120	scaling_pS6_tot	0.01
pS6_tot		model1_data6	0.1631478226	300	scaling_pS6_tot	0.01
pS6_tot		model1_data6	0.4009703836	600	scaling_pS6_tot	0.02
pS6_tot		model1_data6	0.5574326493	900	scaling_pS6_tot	0.03
pS6_tot		model1_data6	0.7058108511	1800	scaling_pS6_tot	0.035
pS6_tot		model1_data6	0.5194180219	inf	scaling_pS6_tot	0.07
