experimentId	experiment
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__2
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__3
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__4
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__5
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2
